Date,Skillscore
21-Oct-17,0.230769231
28-Oct-17,0.230769231
4-Nov-17,0.230769231
11-Nov-17,0.230728453
18-Nov-17,0.231640583
25-Nov-17,0.233273007
2-Dec-17,0.233195418
9-Dec-17,0.231508139
16-Dec-17,0.231018451
23-Dec-17,0.231546692
30-Dec-17,0.116657149
6-Jan-18,0.119452218
13-Jan-18,0.120832965
20-Jan-18,0.621849776
27-Jan-18,0.622697731
3-Feb-18,0.622812201
10-Feb-18,0.849300306
17-Feb-18,1
24-Feb-18,1
3-Mar-18,1
10-Mar-18,1
17-Mar-18,1
24-Mar-18,1
31-Mar-18,1
7-Apr-18,1
14-Apr-18,1
21-Apr-18,1
28-Apr-18,1
