Date,Skillscore
21-Oct-17,0.327288828
28-Oct-17,0.19488786
4-Nov-17,0.243884526
11-Nov-17,0.252372316
18-Nov-17,0.256844865
25-Nov-17,0.210686103
2-Dec-17,0.09090909
9-Dec-17,0.143006841
16-Dec-17,0.124575532
23-Dec-17,0.118007768
30-Dec-17,0.118007768
6-Jan-18,0.143739122
13-Jan-18,0.174950969
20-Jan-18,0.774263622
27-Jan-18,0.65087314
3-Feb-18,0.548307397
10-Feb-18,0.960167058
17-Feb-18,0.904970264
24-Feb-18,0.907430918
3-Mar-18,1
10-Mar-18,1
17-Mar-18,0.997234002
24-Mar-18,0.932947444
31-Mar-18,0.934654169
7-Apr-18,1
14-Apr-18,1
21-Apr-18,1
28-Apr-18,0.118007768
