Date,Skillscore
21-Oct-17,0.36644582
28-Oct-17,0.77034336
4-Nov-17,0.85148071
11-Nov-17,0.72076612
18-Nov-17,0.85905536
25-Nov-17,0.64476934
2-Dec-17,0.83010588
9-Dec-17,0.99586445
16-Dec-17,0.10372534
23-Dec-17,0.25176248
30-Dec-17,0.00253887
6-Jan-18,0.000086675
13-Jan-18,0.00206611
20-Jan-18,0.03064238
27-Jan-18,0.0760289
3-Feb-18,0.00084407
10-Feb-18,0.0000454
17-Feb-18,0.0000454
24-Feb-18,1
3-Mar-18,1
10-Mar-18,1
17-Mar-18,1
24-Mar-18,1
31-Mar-18,1
7-Apr-18,1
14-Apr-18,1
21-Apr-18,1
28-Apr-18,1
