Date,Skillscore
20-Oct-18,4.54E-05
27-Oct-18,4.54E-05
3-Nov-18,4.54E-05
10-Nov-18,4.54E-05
17-Nov-18,4.54E-05
24-Nov-18,4.54E-05
1-Dec-18,4.54E-05
8-Dec-18,4.54E-05
15-Dec-18,4.54E-05
22-Dec-18,4.54E-05
29-Dec-18,4.54E-05
5-Jan-19,4.54E-05
12-Jan-19,4.54E-05
19-Jan-19,4.54E-05
26-Jan-19,4.54E-05
2-Feb-19,4.54E-05
9-Feb-19,4.54E-05
16-Feb-19,4.54E-05
23-Feb-19,4.54E-05
2-Mar-19,4.54E-05
9-Mar-19,4.54E-05
16-Mar-19,4.54E-05
23-Mar-19,4.54E-05
30-Mar-19,4.54E-05
6-Apr-19,4.54E-05
13-Apr-19,4.54E-05
20-Apr-19,4.54E-05
