Date,Skillscore
20-Oct-18,0.521276596
27-Oct-18,0.683673469
3-Nov-18,0.82
10-Nov-18,0.339805825
17-Nov-18,0.042553191
24-Nov-18,0.73
1-Dec-18,0.770833333
8-Dec-18,0.581632653
15-Dec-18,0.663366337
22-Dec-18,0.051546392
29-Dec-18,0.049019608
5-Jan-19,0.217821782
12-Jan-19,0.732673267
19-Jan-19,0.732673267
26-Jan-19,0.8
2-Feb-19,0.91
9-Feb-19,0.76
16-Feb-19,0.35
23-Feb-19,0.21
2-Mar-19,0.831683168
9-Mar-19,0.85
16-Mar-19,1
23-Mar-19,1
30-Mar-19,1
6-Apr-19,1
13-Apr-19,0.76
20-Apr-19,1
