Date,Skillscore
20-Oct-18,0.329391892
27-Oct-18,0.311627119
3-Nov-18,0.302895851
10-Nov-18,0.3644
17-Nov-18,0.3805
24-Nov-18,0.3831
1-Dec-18,0.385038504
8-Dec-18,0.3843
15-Dec-18,0.3912
22-Dec-18,0.3661
29-Dec-18,0.2764
5-Jan-19,0.3097
12-Jan-19,0.3274
19-Jan-19,0.3156
26-Jan-19,0.3248
2-Feb-19,0.4085
9-Feb-19,0.4958
16-Feb-19,0.5954
23-Feb-19,0.25
2-Mar-19,0.25
9-Mar-19,0.232
16-Mar-19,0.25
23-Mar-19,0.254
30-Mar-19,0.253
6-Apr-19,0.284
13-Apr-19,0.282
20-Apr-19,0.5203
