Date,Skillscore
20-Oct-18,0.053554529
27-Oct-18,0.014430635
3-Nov-18,4.54E-05
10-Nov-18,4.54E-05
17-Nov-18,4.54E-05
24-Nov-18,0.004210936
1-Dec-18,0.011762415
8-Dec-18,0.009926184
15-Dec-18,0.001392187
22-Dec-18,4.54E-05
29-Dec-18,0.000551626
5-Jan-19,4.54E-05
12-Jan-19,0.01616667
19-Jan-19,0.011549594
26-Jan-19,0.137479752
2-Feb-19,0.825426698
9-Feb-19,0.399357758
16-Feb-19,1
23-Feb-19,1
2-Mar-19,1
9-Mar-19,1
16-Mar-19,1
23-Mar-19,1
30-Mar-19,1
6-Apr-19,1
13-Apr-19,1
20-Apr-19,1
