Date,Skillscore
20-Oct-18,0.053554529
27-Oct-18,0.014681878
3-Nov-18,4.54E-05
10-Nov-18,4.54E-05
17-Nov-18,4.54E-05
24-Nov-18,0.004211556
1-Dec-18,0.011757488
8-Dec-18,0.00995493
15-Dec-18,0.001456859
22-Dec-18,4.54E-05
29-Dec-18,0.000555468
5-Jan-19,4.54E-05
12-Jan-19,0.016168156
19-Jan-19,0.011534272
26-Jan-19,0.141423273
2-Feb-19,0.825835712
9-Feb-19,0.394325605
16-Feb-19,1
23-Feb-19,1
2-Mar-19,1
9-Mar-19,1
16-Mar-19,1
23-Mar-19,1
30-Mar-19,1
6-Apr-19,1
13-Apr-19,1
20-Apr-19,1
