Date,Skillscore
20-Oct-18,0.467788889
27-Oct-18,0.496948889
3-Nov-18,0.451622222
10-Nov-18,0.471122222
17-Nov-18,0.470222222
24-Nov-18,0.474422222
1-Dec-18,0.463922222
8-Dec-18,0.457022222
15-Dec-18,0.614895556
22-Dec-18,0.840423889
29-Dec-18,0.860943889
5-Jan-19,0.859099444
12-Jan-19,0.425767
19-Jan-19,0.377911667
26-Jan-19,0.734032333
2-Feb-19,0.902671444
9-Feb-19,0.90002224
16-Feb-19,0.988888889
23-Feb-19,0.983333333
2-Mar-19,0.972727273
9-Mar-19,1
16-Mar-19,1
23-Mar-19,1
30-Mar-19,1
6-Apr-19,1
13-Apr-19,1
20-Apr-19,1
