Date,Skillscore
20-Oct-18,0.421
27-Oct-18,0.405
3-Nov-18,0.388
10-Nov-18,0.394
17-Nov-18,0.387
24-Nov-18,0.375
1-Dec-18,0.376
8-Dec-18,0.372
15-Dec-18,0.379
22-Dec-18,0.408
29-Dec-18,0.362
5-Jan-19,0.366
12-Jan-19,0.366
19-Jan-19,0.375
26-Jan-19,0.371
2-Feb-19,0.381
9-Feb-19,0.438
16-Feb-19,0.437
23-Feb-19,0.344155844
2-Mar-19,0.731012658
9-Mar-19,0.672839506
16-Mar-19,0.723163842
23-Mar-19,0.816037736
30-Mar-19,0.794392523
6-Apr-19,0.78125
13-Apr-19,0.759615385
20-Apr-19,0.769230769
