Date,Skillscore
20-Oct-18,0.286352314
27-Oct-18,0.285233623
3-Nov-18,0.282125531
10-Nov-18,0.273253924
17-Nov-18,0.240272671
24-Nov-18,0.109060515
1-Dec-18,0.051846583
8-Dec-18,0.022475657
15-Dec-18,0.001638047
22-Dec-18,4.54E-05
29-Dec-18,4.54E-05
5-Jan-19,4.54E-05
12-Jan-19,4.54E-05
19-Jan-19,4.54E-05
26-Jan-19,4.54E-05
2-Feb-19,0.000333333
9-Feb-19,0.073133333
16-Feb-19,0.094342569
23-Feb-19,4.54E-05
2-Mar-19,0.079296387
9-Mar-19,0.000915191
16-Mar-19,4.54E-05
23-Mar-19,4.54E-05
30-Mar-19,4.54E-05
6-Apr-19,4.54E-05
13-Apr-19,0.002919384
20-Apr-19,4.54E-05
