Date,Skillscore
20-Oct-18,0.246336822
27-Oct-18,0.259850929
3-Nov-18,0.246063602
10-Nov-18,0.235756614
17-Nov-18,0.247265655
24-Nov-18,0.255753433
1-Dec-18,0.276776592
8-Dec-18,0.261294818
15-Dec-18,0.303180154
22-Dec-18,0.272513388
29-Dec-18,0.252940549
5-Jan-19,0.273181377
12-Jan-19,0.288879724
19-Jan-19,0.325404932
26-Jan-19,0.476909305
2-Feb-19,0.492660548
9-Feb-19,0.682555962
16-Feb-19,0.740483911
23-Feb-19,0.631956231
2-Mar-19,0.734254698
9-Mar-19,0.768384338
16-Mar-19,0.809822374
23-Mar-19,0.835886195
30-Mar-19,0.885369394
6-Apr-19,0.867374974
13-Apr-19,0.894848292
20-Apr-19,0.888943116
