Date,Skillscore
20-Oct-18,0.328
27-Oct-18,0.328
3-Nov-18,0.328
10-Nov-18,0.328
17-Nov-18,0.328
24-Nov-18,0.328
1-Dec-18,0.328
8-Dec-18,0.328
15-Dec-18,0.328
22-Dec-18,0.328
29-Dec-18,0.328
5-Jan-19,0.328
12-Jan-19,0.352239352
19-Jan-19,0.483439
26-Jan-19,0.582621
2-Feb-19,0.504758
9-Feb-19,0.537664538
16-Feb-19,0.409291
23-Feb-19,0.445099555
2-Mar-19,0.250131
9-Mar-19,0.298270702
16-Mar-19,0.240808722
23-Mar-19,0.408308225
30-Mar-19,0.442291442
6-Apr-19,0.406237812
13-Apr-19,0.475521524
20-Apr-19,0.523027954
